P0,ndot,tads,alpha,beta,PI,Pl,productivity,energy,purity,recovery
120727.5390625,1.8114013671875,238.5498046875,0.29299316406250003,0.1448974609375,26995.49949169159,6744.140625,0.00011323909446345013,344.1499654925566,0.2007701347017432,1.0051189197797579
120947.265625,1.905517578125,165.087890625,0.22084960937500003,0.391943359375,44654.27541732788,9613.28125,0.00013144938850968022,289.3305264503767,0.20156381103980983,1.0051086669178058
121020.5078125,0.6820068359375,95.4443359375,0.25227050781250004,0.1112060546875,22743.30222606659,9236.328125,0.0002309938931755985,351.7950355419708,0.1564951227036885,1.0049690792235608
121240.234375,1.968505859375,379.248046875,0.30141601562500003,0.22583007812500003,57384.910106658936,8449.21875,9.006188694599265e-5,291.8167582409642,0.236163311476624,1.005283119633255
121313.4765625,0.5604248046875,280.3857421875,0.19045410156250003,0.2825927734375,9467.665553092957,8822.265625,7.863977965667709e-5,329.77999998962315,0.17217402940052717,1.0061277084100564
121533.203125,0.842041015625,204.267578125,0.26713867187500007,0.180419921875,51661.47756576538,7941.40625,0.00010941735659906561,351.655558270723,0.17094928648308028,1.0048392293078918
121606.4453125,1.6868896484375,135.9521484375,0.22238769531250002,0.3110107421875,14196.431040763855,7314.453125,0.00015770467305986248,347.4240901207047,0.1830104683860022,1.0049953570070753
121826.171875,1.215576171875,263.037109375,0.23520507812500002,0.158447265625,21108.859539031982,3464.84375,0.00010500800871725905,461.9924023752014,0.18678480201716965,1.005016605296751
121899.4140625,1.3133544921875,332.8466796875,0.27541503906250003,0.3265380859375,46155.850291252136,3837.890625,9.067139175702738e-5,438.1725307813652,0.2018584497732866,1.005279202544312
122119.140625,1.594970703125,65.478515625,0.200927734375,0.135302734375,28926.621913909912,4957.03125,0.000323906577817331,448.5389646577098,0.1613377471186627,1.004948538798945
122192.3828125,0.9339599609375,168.4912109375,0.3073486328125,0.37956542968750007,39462.42606639862,4330.078125,0.00014563163045557163,468.1230947515456,0.16842641645886483,1.0051928192574124
122412.109375,0.532958984375,130.888671875,0.16665039062500003,0.38872070312500007,7966.468334197998,3667.96875,0.00017557905882737744,508.7770527426888,0.1590804914492721,1.0050825309249098
122485.3515625,1.9373779296875,188.7451171875,0.3603759765625001,0.1079833984375,54010.0964307785,3041.015625,0.00015785447714207327,513.5182747330637,0.1815441847297389,1.005084849185297
122705.078125,1.656494140625,285.283203125,0.13471679687500002,0.35502929687500007,15079.209804534912,4160.15625,9.962158646207443e-5,371.44701411671133,0.2222819727457507,1.0051201265201273
122778.3203125,0.8138427734375,394.9365234375,0.3946533203125,0.1481201171875,48049.6643781662,4533.203125,7.44924228984849e-5,449.21116150871075,0.1781379518819166,1.005082349044047
122998.046875,1.280029296875,184.677734375,0.3629394531250001,0.302587890625,44504.21476364136,8683.59375,0.00012469632179990027,339.7088631774171,0.17821888832430688,1.005145678511982
123071.2890625,1.1903076171875,71.2060546875,0.10783691406250001,0.2081787109375,27837.082743644714,8056.640625,0.00029055566594368514,365.7586366799727,0.16049609152984445,1.005714603208325
